country_origin_id,country_destination_id,import_val
IND,ITA,6500.15
IRN,ITA,1125
ISR,ITA,12408.16
JOR,ITA,91785
KOR,ITA,1796.8
THA,ITA,15790.06
TUR,ITA,2391367.68
ALB,ITA,5963
AUT,ITA,17494380.14
BGR,ITA,441523.88
BLX,ITA,76748851.13
CHE,ITA,25850874.54
CZE,ITA,616018.52
DEU,ITA,229778802.4
DNK,ITA,674614.85
ESP,ITA,22141403.7
FIN,ITA,139263
FRA,ITA,89195047.16
GBR,ITA,3989551.9
GRC,ITA,296192.94
HRV,ITA,10825.43
HUN,ITA,2665467.39
IRL,ITA,201669
LTU,ITA,106179
LVA,ITA,6577.9
MDA,ITA,51603.04
MKD,ITA,38721.93
NLD,ITA,18118009.78
POL,ITA,50380438.5
PRT,ITA,191363.99
ROU,ITA,5723928.17
RUS,ITA,535591.97
SRB,ITA,16283.84
SVK,ITA,2462206.83
SVN,ITA,559585.44
SWE,ITA,1327944.53
UKR,ITA,16713
CAN,ITA,111372.57
MEX,ITA,10926.33
USA,ITA,418868.62
AUS,ITA,8353.28
ARG,ITA,2750
BRA,ITA,9553.26
CHL,ITA,7574.14
COL,ITA,7092.94
ECU,ITA,4806
PER,ITA,86072.97
CIV,BLX,1332178.05
GHA,BLX,15931
MAR,BLX,20284
TGO,BLX,8242
UGA,BLX,1959
ZAF,BLX,50891
ARE,BLX,16811.95
CHN,BLX,4512730.91
CYP,BLX,30007
HKG,BLX,100889.12
IDN,BLX,16147.85
IND,BLX,2910
IRN,BLX,27693.22
ISR,BLX,62744.51
JPN,BLX,93106.39
KOR,BLX,211107.28
LBN,BLX,13904.1
MYS,BLX,208734
OMN,BLX,1706
THA,BLX,128910.88
TUR,BLX,1120681.37
VNM,BLX,3005789.41
AUT,BLX,10965978.44
BGR,BLX,40993.17
CHE,BLX,11051287.2
CZE,BLX,13115468.13
DEU,BLX,191676444
DNK,BLX,483815.54
ESP,BLX,33430571.7
FIN,BLX,66471.45
FRA,BLX,159411252.4
GBR,BLX,27208840.74
GRC,BLX,1063933.01
HRV,BLX,27905.72
HUN,BLX,1979358.52
IRL,BLX,802637.85
ISL,BLX,2350
ITA,BLX,80645167.77
LTU,BLX,7049010.36
LVA,BLX,31970.45
NLD,BLX,111628483.6
NOR,BLX,7508.72
POL,BLX,27177637.93
PRT,BLX,293165.11
ROU,BLX,2531614.75
SRB,BLX,24794
SVK,BLX,8589189.57
SVN,BLX,8314.79
SWE,BLX,5111612.45
UKR,BLX,20388
CAN,BLX,897237.7
CRI,BLX,3530
MEX,BLX,26931.05
USA,BLX,13608191.27
AUS,BLX,108276.99
VUT,BLX,1959
BOL,BLX,6037
