country_origin_id,country_destination_id,export_val
BLX,NER,20977.34
BLX,NGA,154951
BLX,RWA,133802.37
BLX,SDN,58842
BLX,SEN,411055.78
BLX,SLE,82852.47
BLX,SYC,178609.41
BLX,TCD,3917
BLX,TGO,20507.12
BLX,TUN,468310.09
BLX,TZA,35502.88
BLX,UGA,42477.46
BLX,ZAF,11932974.06
BLX,ZMB,20461.32
BLX,ZWE,6619.66
BLX,ATF,6360
BLX,ARE,19300674
BLX,ARM,371699.41
BLX,AZE,732155.64
BLX,BGD,1833
BLX,BHR,1722080.98
BLX,BRN,5122
BLX,CHN,36856629.44
BLX,CYP,1094567.61
BLX,GEO,2564801.88
BLX,HKG,30880594.84
BLX,IDN,6202059
BLX,IND,4652477.43
BLX,IRN,185321
BLX,IRQ,438636
BLX,ISR,44458656.06
BLX,JOR,1416856.01
BLX,JPN,66213393.21
BLX,KAZ,341760.17
BLX,KGZ,57188.64
BLX,KHM,42282.57
BLX,KOR,23081571.79
BLX,KWT,10447486.76
BLX,LBN,9200170
BLX,LKA,227789.14
BLX,MAC,168018.79
BLX,MDV,397579.48
BLX,MMR,160345
BLX,MNG,689110.8
BLX,MYS,5713300.36
BLX,NPL,11443.16
BLX,OMN,814692.18
BLX,PAK,609196.95
BLX,PHL,1741489.45
BLX,PSE,7444
BLX,QAT,3249197.97
BLX,SAU,14219900.59
BLX,SGP,9158878.2
BLX,SYR,1097
BLX,THA,5862615.14
BLX,TKM,45754
BLX,TUR,7876596.83
BLX,UZB,3301
BLX,VNM,2493257.21
BLX,XXB,6169129.15
BLX,YEM,33135
BLX,ALB,478210.87
BLX,AND,110606
BLX,AUT,37528251
BLX,BGR,2877297.48
BLX,BIH,1621814.76
BLX,BLR,850728.1
BLX,CHE,20260359.97
BLX,CZE,46765607.19
BLX,DEU,470535753.9
BLX,DNK,67213434.03
BLX,ESP,61803613.28
BLX,EST,1686106.12
BLX,FIN,6472640.91
BLX,FRA,588891363.5
BLX,GBR,269967600.2
BLX,GIB,23275
BLX,GRC,17653273.36
BLX,HRV,3121227.74
BLX,HUN,12357946.64
BLX,IRL,16703571.98
BLX,ISL,1527302.51
BLX,ITA,76748851.13
BLX,LTU,9853426.45
BLX,LVA,2212388.98
BLX,MDA,237231.87
BLX,MKD,657689.08
BLX,MLT,1612795.46
BLX,MNE,559164.49
BLX,NLD,402314625.6
BLX,NOR,14833743.01
BLX,POL,39155996.9
BLX,PRT,17237226.64
BLX,ROU,9482158.87
BLX,RUS,27460779.87
BLX,SMR,1187249
BLX,SRB,2816385.44
BLX,SVK,7413425.66
BLX,SVN,2417491.67
BLX,SWE,41861177.01
BLX,UKR,3136010.93
BLX,ABW,19472
BLX,ATG,1005.59
BLX,BMU,23429
BLX,BRB,55142.14
BLX,CAN,41898058.76
BLX,CRI,573085.13
BLX,CUB,5696
BLX,CUW,162394
BLX,DOM,364065.64
BLX,GRL,40285.39
BLX,GTM,315660.53
BLX,HND,15810
BLX,HTI,2500
BLX,JAM,15654
BLX,LCA,10677
BLX,MAF,11674
BLX,MEX,7063830.18
BLX,NIC,54650.78
BLX,PAN,190290.06
BLX,SLV,85739.91
BLX,TTO,27756
BLX,USA,127048694
BLX,VGB,6409
BLX,AUS,36239326.89
BLX,FJI,92808.65
BLX,GUM,125183
BLX,NCL,571227.05
BLX,NZL,6793954.12
BLX,PLW,196492
BLX,PNG,5419
BLX,PYF,481139.85
BLX,ARG,1788132.08
BLX,BRA,15121069.56
BLX,CHL,6082194.66
BLX,COL,802194.97
BLX,ECU,1122842.1
BLX,PER,640946.86
BLX,PRY,166687.37
BLX,SUR,41264
BLX,URY,458928.03
BLX,VEN,1528702
ITA,AGO,98213.34
ITA,BEN,430563
ITA,CIV,223387.87
ITA,CMR,404964.37
ITA,COD,140880
ITA,COG,141709
ITA,CPV,10251.22
ITA,DJI,280914
ITA,DZA,11951185.71
ITA,EGY,4867573.72
ITA,ERI,3698
ITA,ETH,389583.98
ITA,GAB,229387
ITA,GHA,214489
ITA,GIN,2477
ITA,GMB,718868
ITA,GNQ,92691
ITA,KEN,569818
ITA,LBY,13541257
ITA,MAR,5319359.06
ITA,MDG,155568.62
ITA,MOZ,71332.15
ITA,MRT,113787
ITA,MUS,3576193.17
ITA,MWI,25801.31
ITA,NGA,300484
ITA,SDN,402989.04
ITA,SEN,394764.19
ITA,SOM,132027
ITA,SYC,77771.49
ITA,TUN,2155821.73
ITA,TZA,218828.35
ITA,UGA,23706.27
ITA,ZAF,15648560.37
ITA,ZMB,35820.53
ITA,ZWE,3003.55
ITA,AFG,634485
ITA,ARE,55502883
ITA,ARM,4228217.98
ITA,AZE,3397411.44
ITA,BGD,98836
ITA,BHR,4226819.76
ITA,BRN,164914
ITA,CHN,106686667.2
ITA,CYP,6297784.95
ITA,GEO,3981228.8
ITA,HKG,62109184.72
ITA,IDN,353332
ITA,IND,8023176.73
ITA,IRN,129084
ITA,IRQ,491410
ITA,ISR,11966431.41
ITA,JOR,7909147.23
ITA,JPN,21241984.07
ITA,KAZ,943283.43
ITA,KGZ,568974.54
ITA,KHM,20381.4
ITA,KOR,23649795.23
ITA,KWT,14746461.38
ITA,LAO,2382
ITA,LBN,10858026
ITA,LKA,545016.2
ITA,MAC,55949.16
ITA,MDV,91693.09
ITA,MMR,9377
ITA,MNG,675850.5
ITA,MYS,10497110.36
ITA,NPL,21509.86
ITA,OMN,9158577.63
ITA,PAK,569534.7
ITA,PHL,914275.41
ITA,PSE,40045.46
ITA,QAT,7299134.79
ITA,SAU,37009196.89
ITA,SGP,26664771.88
ITA,SYR,24703
ITA,THA,8735349.21
ITA,TJK,336416
ITA,TKM,438328
